"id","codigo","nome","endereco"
"1","101","Agência Central Vitória","Av. Princesa Isabel, 500, Centro, Vitória - ES"
"2","255","Agência Praia do Canto","Rua Aleixo Neto, 1204, Praia do Canto, Vitória - ES"
"3","340","Agência Jardim Camburi","Av. Dr. Herwan Modenese Wanderley, 550, Jardim Camburi, Vitória - ES"
"4","412","Agência Enseada do Suá","Rua Clóvis Machado, 120, Enseada do Suá, Vitória - ES"
"5","588","Agência Vila Velha Centro","Av. Luciano das Neves, 980, Centro, Vila Velha - ES"
"6","603","Agência Jardim da Penha","Rua Comissário Octávio Queiroz, 750, Jardim da Penha, Vitória - ES"
"7","771","Agência Bento Ferreira","Av. Leitão da Silva, 2005, Bento Ferreira, Vitória - ES"
"8","829","Agência Laranjeiras Serra","Av. Central, 1500, Parque Res. Laranjeiras, Serra - ES"
"9","945","Agência Campo Grande","Av. Expedito Garcia, 300, Campo Grande, Cariacica - ES"
"10","1150","Agência Itaparica","Rod. do Sol, 5000, Ed. Millenium, Itaparica, Vila Velha - ES"
